close,width,sma,rsi,roc,perc_diff,datetime
-1.895971203352457,-0.8201011032051811,-1.8263409534893513,-0.9944760206112349,-1.409930972074959,0.7293503723034613,2010-02-01 00:00:00
-1.8903808165106348,-0.8166088303127411,-1.8306916392623025,-0.8546029262178901,-1.1566362973799211,0.25683279180163343,2010-02-02 00:00:00
-1.8734344629004904,-0.8183647772717563,-1.8343349026671403,-0.8300584736347634,-1.1083154566125568,0.9163972720337811,2010-02-03 00:00:00
-1.9097441661358832,-0.8112372243462652,-1.8389000028539733,-1.0253631417315283,-1.564672468745064,-2.1123063937652917,2010-02-04 00:00:00
-1.8923178143754371,-0.8095571501954688,-1.8425665768410588,-0.7501904604905476,-1.054112786009525,0.9444430735293678,2010-02-05 00:00:00
-1.8990536567577532,-0.8092158607003249,-1.8469158126820187,-1.2724430548783796,-1.791883544224782,-0.4505695743724152,2010-02-08 00:00:00
-1.8885950309709958,-0.8102395732067006,-1.8503180552991325,-1.0452191457700217,-1.413093349104093,0.5386576442353714,2010-02-09 00:00:00
-1.8939271082473401,-0.8097687538911996,-1.8534047147469228,-0.9515398686399522,-1.2336185362900995,-0.3704514282325079,2010-02-10 00:00:00
-1.8761545230514023,-0.8142257822388228,-1.8563462026006874,-0.28185353114389483,-0.1728925548849665,0.9646815874619061,2010-02-11 00:00:00
-1.8677425054309404,-0.8185171356161034,-1.8585760493748706,-0.4908757099083601,-0.460201225173594,0.4200094917371716,2010-02-12 00:00:00
-1.8528957378190865,-0.8197583579252493,-1.8591961910067931,-0.47902738110186976,-0.4423998203219039,0.7938803942527478,2010-02-16 00:00:00
-1.8570783090720522,-0.833517469291695,-1.8622896419313284,-0.6491451720030749,-0.6548182439788629,-0.304760102000043,2010-02-17 00:00:00
-1.8551609708082646,-0.8435333733883709,-1.8644720165812665,-0.07053302221536487,0.042108325262542594,0.04511399775645907,2010-02-18 00:00:00
