,close,volume,width,sma,ema,rsi,roc,perc_diff
count,3692.0,3692.0,3692.0,3692.0,3692.0,3692.0,3692.0,3692.0
mean,3.6959252363808397,257200946.38468808,7.7115848543775245,3.6871847748459996,3.6919009308661024,55.94108057215391,0.015650230025983345,0.11456267603878387
std,1.0107891157178244,252569311.7179472,8.43346630936522,1.010926768859641,1.0107479177974397,17.85476517788995,0.06302954964137762,1.7602555187836983
min,1.7658380603099493,24048344.0,0.2861351123993998,1.797347410894021,1.7906868129928935,3.203033838973056,-0.2327974022291534,-12.86335814213848
25%,2.871137925470342,88904430.40770075,1.7323603552183204,2.8608086116489067,2.8650360211640136,42.81274734217201,-0.0242994539548009,-0.7401668239682635
50%,3.540374554910465,148252514.784025,3.363369195934382,3.54154242651003,3.5438617254318823,56.326608017569704,0.017859086604002802,0.09845301470078335
75%,4.822605446403246,351321204.18536997,12.074937761442484,4.819000436273047,4.822629864715512,69.26479039537088,0.05913029119869717,1.0376927167944805
max,5.458819263202066,2184247624.7559,41.11155447778384,5.417022199440996,5.430456036468399,97.58628118402343,0.243988078136891,11.98009225301151
